iter	Passed	Remaining
738	1361	480
739	1364	479
740	1365	477
741	1367	475
742	1368	473
743	1369	471
744	1370	469
745	1372	467
746	1373	465
747	1374	463
748	1375	461
749	1378	459
750	1380	457
751	1381	455
752	1382	453
753	1384	451
754	1385	449
755	1386	447
756	1387	445
757	1388	443
758	1390	441
759	1391	439
760	1394	437
761	1395	435
762	1397	433
763	1398	431
764	1399	429
765	1400	427
766	1402	425
767	1403	423
768	1404	421
769	1405	419
770	1408	418
771	1410	416
772	1411	414
773	1412	412
774	1414	410
775	1415	408
776	1416	406
777	1417	404
778	1419	402
779	1420	400
780	1422	398
781	1424	397
782	1426	395
783	1427	393
784	1428	391
785	1429	389
786	1431	387
787	1432	385
788	1433	383
789	1434	381
790	1436	379
791	1438	377
792	1440	375
793	1441	374
794	1443	372
795	1444	370
796	1445	368
797	1447	366
798	1448	364
799	1449	362
800	1451	360
801	1453	358
802	1455	356
803	1456	355
804	1457	353
805	1458	351
806	1460	349
807	1461	347
808	1462	345
809	1463	343
810	1464	341
811	1467	339
812	1469	337
813	1470	336
814	1471	334
815	1473	332
816	1474	330
817	1475	328
818	1476	326
819	1478	324
820	1479	322
821	1480	320
822	1483	319
823	1484	317
824	1486	315
825	1487	313
826	1488	311
827	1489	309
828	1491	307
829	1492	305
830	1493	303
831	1494	301
832	1497	300
833	1499	298
834	1501	296
835	1502	294
836	1504	292
837	1505	291
838	1507	289
839	1508	287
840	1509	285
841	1514	284
842	1515	282
843	1516	280
844	1517	278
845	1519	276
846	1520	274
847	1521	272
848	1522	270
849	1524	268
850	1525	267
851	1528	265
852	1530	263
853	1531	261
854	1532	259
855	1534	258
856	1535	256
857	1536	254
858	1538	252
859	1539	250
860	1541	248
861	1543	247
862	1544	245
863	1546	243
864	1547	241
865	1548	239
866	1550	237
867	1551	235
868	1552	234
869	1553	232
870	1555	230
871	1557	228
872	1558	226
873	1560	224
874	1561	223
875	1562	221
876	1563	219
877	1565	217
878	1566	215
879	1567	213
880	1568	211
881	1571	210
882	1573	208
883	1574	206
884	1575	204
885	1577	202
